03/16-09:33:21.640000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.13
03/16-09:33:21.640000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.13
03/16-09:33:21.640000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.14
03/16-09:33:21.640000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.14
03/16-09:33:21.720000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:39543
03/16-09:33:21.730000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.17
03/16-09:33:21.730000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.17
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.20
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.20
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.21
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.21
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.22
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.22
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.23
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.23
03/16-09:33:21.740000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.108 -> 192.168.21.24
03/16-09:33:21.740000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.108 -> 192.168.21.24
